Manufacturer,Manufacturer Part #,Product Name,Product Description,Click-Out URL,Price,Merchant Product Cat.,NexTag Product Cat.,Image URL,Ground Shipping,Stock Status,Product Condition,Marketing Message,Weight,Cost-per-Click,UPC,Distributor ID,MUZE ID,ISBN
Nikon,25523,Coolpix 8800 Digital Camera,"Bring your memories to vivid life with the sharp and beautiful images produced by the Coolpix 8800 Digital Camera from Nikon. This compact, lightweight camera delivers up to 8 MP resolutions to provide stunning detail.",http://www.yoursite.com/cameras/coolpix8800.htm,999.99,Digital Cameras,500001 : Electronics / Digital Cameras,http://www.yoursite.com/images/coolpix8800.jpg,19.95,Yes,New,,2.5,,,,,
Hoover,U6439-900,WindTunnel U6439-900 Vacuum Cleaner,"Perfect for deep cleaning without excessive strain, the self-propelled Hoover WindTunnel Ultra upright takes charge of its own locomotion both coming and going.",http://www.yoursite.com/vacuum/wind900.htm,249.99,Large Appliances/Vacuum Cleaners,2700464 : More Categories / Home & Garden / Small Appliances / Vacuum Cleaners,http://www.yoursite.com/images/wind900.gif,24.95,No,Refurbished,,7,,73502025987,,,







  ,,,,,,,,,,,,,,,,,,

